code_number,explanation,system_action,operator_response,system_programmer_response,user_response
00C10002," The Db2 call attachment facility
control block (the CAB) indicated that a thread was present when it should not have been
present.
",,," Collect a DSNTRACE trace stream and
request a SYSABEND or SYSUDUMP dump.
"," This is probably a call attachment facility
error.
"
00C10003," The Db2 call
attachment facility received control after a nonstandard entry that
did not use the call attachment facility language interface.
",,,," This is probably a user error.
"
00C10004,"The call attachment facility encountered an error retrieving a trace message
during processing of a call attachment facility request.
",,,"Collect a DSNTRACE trace stream and request a SYSABEND or SYSUDUMP dump.
","This is probably a call attachment facility error.
"
00C10005,"The application program passed an ECB address of 0 to the call attachment
facility on a CONNECT call. The trace message preceding the abend indicates
whether the ECB was a start-up or termination ECB.
",,,,"See the Explanation above.
"
00C10201,"The application program passed two CONNECT calls to the call attachment
facility (CAF) from the same TCB. The first CONNECT could have been either
implicit or explicit.
",,,,"See the Explanation above.
"
00C10202,"The application program passed two OPEN commands to the call attachment
facility (CAF) from the same TCB. The first OPEN could have been either implicit
or explicit.
",,,,"See the Explanation above.
"
00C10203,"A CLOSE command was issued when there was no active OPEN.
",,,,"See the Explanation above.
"
00C10204,"A DISCONNECT command was issued when there was no active CONNECT.
",,,,"See the Explanation above.
"
00C10205," A TRANSLATE command was issued when the Db2 subsystem was not connected
to the call attachment facility (CAF).
",,,," See the Explanation above.
"
00C10206,"One of the following conditions exists: 
The wrong number of parameters were issued.
The end-of-list bit was off.


",,,,"See the Explanation above.
"
00C10207,"The application program passed an unrecognized function parameter to the
call attachment facility (CAF).
",,,,"See the Explanation above.
"
00C10208," The call attachment facility (CAF) received requests
from the same TCB to CONNECT to the Db2 subsystem
and to another subsystem.
",,,," See the Explanation above.
"
00C10209," The call attachment facility (CAF) received an
explicit call to DSNALI from a Db2 stored
procedure. This is not allowed.
",,,,
00C10210,"The DSN ASUSER userid is not defined in this trusted context context name.
","The DSN ASUSER processing failed.
",,,
00C10211,"The call attachment facility (CAF) failed because the requestor's authorization ID has exceeded
the maximum number of concurrent sessions allowed. 
","The connection request is not processed.
",,"Determine the value of the USER.CSDATA.DSNMUCTL defined for the primary authorization ID in RACF and determine if that value needs to be updated. 
","Db2 11 for z/OS in a Common Criteria environment
(DSN6SPRM COMCRIT= YES) restricts the number of concurrent threads for a primary authorization ID
based upon the custom field USER.CSDATA.DSNMUCTL. 
"
00C10824,"The previous Db2
connection was reset, and cleanup processing was performed.  The call attachment facility is ready
to process new connection requests.
",,,,"See the explanation for message DSNA824I in Call attachment facility trace messages.
"
00C10831," The call attachment facility (CAF) has detected
a release level incompatibility between itself and Db2. Either the current CAF or Db2 release levels do not support coexistence,
or the SPE level of the lower level release does not meet the compatibility
requirements for coexistence between the two releases.
"," The connection is not successful.
",,," If CAF trace (DSNTRACE) is active, message
DSNA831E will indicate the release levels of CAF and the Db2 subsystem.
"
00C12001," The Db2 RRSAF
attachment facility function AUTH SIGNON was invoked by a program
that was not APF authorized. This condition can indicate a security
violation.
"," The application is abended.
",,," This is a user error.
"
00C12002,"An abend has occurred during an attempt to access the caller-provided subsystem
name parameter while executing in the PSW key of the caller. This is probably
the result of a logic error in the requesting program.
","The application is abended.
",,,"This reason code is placed in register 15 during any access to caller-provided
information. When any abend occurs, this register indicates which parameter
caused the error.
Collect the following diagnostic items:Console output from the system on which the job was run, and a listing of the
SYSLOG data set for the period of time that spans the failure. 
Listing of SYS1.LOGREC data set, obtained by executing
IFCEREP1. 
All dumps taken by the attachment facility or
requesting application.


"
00C12003,"An abend has occurred during an attempt to access the caller-provided ribptr parameter while executing in the PSW key of the caller. This is
probably the result of a logic error in the requesting program.
","The application is abended.
",,,"This reason code is placed in register 15 during any access to caller-provided
information. When any abend occurs, this register indicates which parameter
caused the error.
Collect the following diagnostic items:Console output from the system on which the job was run, and a listing of the
SYSLOG data set for the period of time that spans the failure. 
Listing of SYS1.LOGREC data set, obtained by executing
IFCEREP1. 
All dumps taken by the attachment facility or
requesting application.


"
00C12004,"An abend has occurred during an attempt to access the caller-provided eibptr parameter while executing in the PSW key of the caller. This is
probably the result of a logic error in the requesting program.
","The application is abended.
",,,"This reason code is placed in register 15 during any access to caller-provided
information. When any abend occurs, this register indicates which parameter
caused the error.
Collect the following diagnostic items:Console output from the system on which the job was run, and a listing of the
SYSLOG data set for the period of time that spans the failure. 
Listing of SYS1.LOGREC data set, obtained by executing
IFCEREP1. 
All dumps taken by the attachment facility or
requesting application.


"
00C12005," The Db2 RRSAF
attachment facility received control after a nonstandard entry that
did not use the call attachment facility language interface.
"," The application is abended.
",,," This is probably a user error.
"
